iter	Passed	Remaining
687	4918	2230
688	4923	2222
689	4928	2214
690	4934	2206
691	4940	2198
692	4946	2191
693	4953	2183
694	4958	2176
695	4965	2168
696	4970	2160
697	4975	2152
698	4982	2145
699	4988	2137
700	4993	2130
701	5000	2122
702	5006	2115
703	5013	2107
704	5018	2100
705	5024	2092
706	5031	2085
707	5036	2077
708	5041	2069
709	5048	2062
710	5054	2054
711	5060	2047
712	5066	2039
713	5072	2031
714	5078	2024
715	5083	2016
716	5088	2008
717	5095	2001
718	5101	1993
719	5106	1986
720	5113	1978
721	5121	1971
722	5129	1965
723	5134	1957
724	5141	1950
725	5147	1942
726	5153	1935
727	5159	1927
728	5164	1919
729	5170	1912
730	5176	1904
731	5181	1897
732	5187	1889
733	5193	1882
734	5199	1874
735	5205	1867
736	5211	1859
737	5218	1852
738	5225	1845
739	5231	1837
740	5237	1830
741	5243	1823
742	5248	1815
743	5255	1808
744	5260	1800
745	5266	1793
746	5272	1785
747	5278	1778
748	5282	1770
749	5289	1763
750	5294	1755
751	5300	1747
752	5306	1740
753	5313	1733
754	5320	1726
755	5326	1719
756	5331	1711
757	5338	1704
758	5344	1696
759	5350	1689
760	5356	1682
761	5362	1674
762	5368	1667
763	5373	1659
764	5378	1652
765	5385	1645
766	5389	1637
767	5395	1629
768	5401	1622
769	5407	1615
770	5412	1607
771	5419	1600
772	5425	1593
773	5433	1586
774	5438	1578
775	5443	1571
776	5450	1564
777	5455	1556
778	5461	1549
779	5467	1542
780	5472	1534
781	5478	1527
782	5485	1520
783	5491	1512
784	5498	1505
785	5503	1498
786	5509	1491
787	5516	1484
788	5525	1477
789	5532	1470
790	5539	1463
791	5547	1456
792	5553	1449
793	5562	1443
794	5568	1435
795	5577	1429
796	5584	1422
797	5591	1415
798	5597	1408
799	5603	1400
800	5610	1393
801	5616	1386
802	5623	1379
803	5629	1372
804	5635	1365
805	5642	1358
806	5647	1350
807	5653	1343
808	5659	1336
809	5664	1328
810	5671	1321
811	5677	1314
812	5682	1307
813	5689	1300
814	5695	1292
815	5701	1285
