iter	MultiClass
486	0.1254629944
487	0.125228067
488	0.1249182165
489	0.1246596245
490	0.1244887975
491	0.1243186357
492	0.1241364261
493	0.1239702515
494	0.1237458678
495	0.1235684326
496	0.1231423804
497	0.1228512096
498	0.1227181149
499	0.1223542959
500	0.1221126296
501	0.1216087209
502	0.1213474581
503	0.1211519271
504	0.1207872677
505	0.1205814001
506	0.1202127644
507	0.119804464
508	0.1195351791
509	0.1191828446
510	0.1188921999
511	0.1186933012
512	0.1183945055
513	0.1182500129
514	0.1177071986
515	0.1176100952
516	0.1174759695
517	0.1171351116
518	0.1170501179
519	0.1168355988
520	0.1166779969
521	0.1165168736
522	0.1161803264
523	0.1158897649
524	0.1155747139
525	0.1151634177
526	0.1149064514
527	0.1145372644
528	0.1141454858
529	0.1139181801
530	0.1138367025
531	0.1135010939
532	0.113237932
533	0.1129506
534	0.1125113471
535	0.1123521715
536	0.1121141664
537	0.1119862431
538	0.1117446744
539	0.1114798302
540	0.1112838939
541	0.1110361553
542	0.1107800608
543	0.1104744023
544	0.1102364189
545	0.1100707641
546	0.1099783162
547	0.10982342
548	0.1094525349
549	0.1092045934
550	0.1088707791
551	0.1086732169
552	0.1085623562
553	0.1082798224
554	0.107918847
555	0.1077744331
556	0.1076060096
557	0.1073862708
558	0.1071778475
559	0.1069182876
560	0.1067848361
561	0.1065592682
562	0.1062907901
563	0.1060751641
564	0.1059055511
565	0.1055357838
566	0.1053055986
567	0.1050581683
568	0.1049349054
569	0.1046406809
570	0.1043884772
571	0.1039576965
572	0.1037943247
573	0.1036558153
574	0.1034020397
575	0.1030946826
576	0.1029948187
577	0.1025457084
578	0.1023120283
579	0.1021482986
580	0.1018208538
581	0.1016676007
582	0.1014442927
583	0.1011679504
584	0.1010276663
585	0.1006642975
586	0.100448226
587	0.1003207578
588	0.1001713815
589	0.100006581
590	0.09984666515
591	0.09969634701
592	0.09941225266
593	0.09919468753
594	0.09891574304
595	0.09863443846
596	0.09817928732
597	0.09801691756
598	0.09777689785
599	0.09753718868
600	0.09747761181
601	0.0973207568
602	0.09717980201
603	0.09680864215
604	0.09665330014
605	0.09645525813
606	0.09623757907
607	0.09599560253
608	0.09561932094
609	0.09544277189
610	0.0952772938
611	0.09500254588
612	0.0947478536
613	0.09462222387
614	0.09443853851
615	0.09429836138
616	0.09408880349
617	0.09397351566
618	0.09373306913
619	0.09354116104
620	0.09342733715
621	0.09312143973
622	0.09295693755
623	0.09262793857
624	0.09255368278
625	0.09242673231
626	0.09227704221
627	0.09202617823
628	0.09187400107
629	0.09159982365
630	0.09135097386
631	0.09100280592
632	0.09088772144
633	0.09073515586
634	0.09069024819
635	0.09048153194
636	0.09031819834
637	0.09011656095
638	0.08978205819
639	0.08957756518
640	0.08941359764
641	0.08924453455
642	0.08909732958
643	0.08886821036
644	0.08874480415
645	0.08867356155
646	0.08850181215
647	0.0883981664
648	0.08833628664
649	0.08813149374
650	0.08797107298
651	0.08774955045
652	0.08754617661
653	0.08745463388
654	0.08727336983
655	0.08703704752
656	0.08689358161
657	0.08667615478
658	0.08641929247
659	0.08633523691
660	0.08610386566
661	0.0860002903
662	0.08578386252
663	0.08566201437
664	0.08547687994
665	0.08539425017
666	0.08523955932
667	0.08500456903
668	0.08476084189
669	0.0846828705
670	0.08442795819
671	0.08434868779
672	0.08415598754
673	0.08392840096
674	0.08386063302
675	0.08368097661
676	0.08355100044
677	0.08343806599
678	0.08333288763
679	0.08317604237
680	0.08298657963
681	0.08291930331
682	0.08279408208
683	0.08269848383
684	0.08259428896
685	0.08243340649
686	0.0821329722
687	0.08202780123
688	0.08183499216
689	0.08170784255
690	0.08155141881
691	0.08132025512
692	0.0811818811
693	0.08096325445
694	0.08078834074
695	0.08061886603
696	0.08045412095
697	0.08027490247
698	0.08006203121
699	0.07983222735
700	0.07969819204
701	0.07948473584
702	0.07929812545
703	0.07917642611
704	0.07899383423
705	0.07889935681
706	0.0787341073
707	0.07859665852
708	0.07835371239
709	0.07816092671
710	0.0780182422
711	0.07782079306
712	0.07774391729
713	0.077600183
714	0.07751296984
715	0.07729424272
716	0.07717438819
717	0.07711043536
718	0.07699733361
719	0.07685866322
720	0.07670520588
721	0.07660690221
722	0.07642488849
723	0.07626487733
724	0.07612072786
725	0.0759158556
726	0.07576810045
727	0.07556820249
728	0.07548586684
729	0.0753381946
730	0.07521358945
731	0.07505715253
732	0.07487946019
733	0.07473940969
734	0.07467540965
735	0.07455681607
736	0.07444488332
737	0.07437667531
738	0.07420496435
739	0.07397649201
740	0.07386770784
741	0.07378415244
742	0.07367583821
743	0.07347813067
744	0.07336367877
745	0.0732344695
746	0.0730774731
747	0.07301202228
748	0.07292693187
749	0.07283310581
750	0.07273263367
751	0.07253090448
752	0.07246214103
753	0.07229343356
